time_period,Time,Gender,Gender_Color,Native_Language,Language_Color,Nationality,Nationality_Color,Name,Link
1990,1996,Company,#727171,English,green,America,#A40B5D,VBScript,
1990,1996,Company,#727171,French,#2EA7E0,France,#ECAB43,Ocaml,
1990,1996,Male,blue,English,green,UK,#E8BE21,NetRexx,
1990,1997,Company,#727171,Swiss,#B5B5B6,German,yellow,Component Pascal,
1990,1997,Male,blue,English,green,America,#A40B5D,E,
1990,1997,Uni,#727171,Dutch/French/German,,Belgium,#E0ADA7,Pico,
1990,1997,Male,blue,English,green,America,#A40B5D,Squeak,
1990,1997,Company,#727171,English,green,Swizerland,#F39800,ECMAScript,
1990,1997,Male,blue,/,#B5B5B6,/,,F-Script,
1990,1997,Male,blue,English,green,America,#A40B5D,Tea,
1990,1997,Male,blue,English,green,America,#A40B5D,REBOL,
1990,1998,Uni,#727171,Potrugese,#44B8AF,ÆÏÌÑÑÀ,#E3A978,Logtalk,
1990,1998,Male,blue,English,green,America,#A40B5D,ActionScript,
1990,1998,Company,#727171,English,green,America,#A40B5D,Standard C++,
1990,1998,Male,blue,English,green,America,#A40B5D,M2001,
1990,1998,Male,blue,English,green,America,#A40B5D,Pikt,
1990,1998,Male,blue,French,#2EA7E0,France,#ECAB43,PureBasic,
1990,1998,Male,blue,English,green,America,#A40B5D,UnrealScript,
1990,1998,Male,blue,English,green,UK,#E8BE21,XSLT,
1990,1999,Male,blue,Dutch,#C9BC9C,Netherland,#823720,Game Maker language,
1990,1999,Male,blue,Spanish,#DCDDDD,Spain,#FBEDE5,Harbour,
2000,2000,Male,blue,English,green,Austrlian,#331737,Join Java,
2000,2000,Company,#727171,English,green,UK,#E8BE21,DarkBasic,
2000,2000,Male,blue,Danish,#10909E,Danmark,#DAE000,C#,
2000,2000,Male,blue,English,green,Austrlia,#331737,Joy,
2000,2001,Male,blue,English,green,America,#A40B5D,AspectJ,
2000,2001,Male,blue,English,green,America,#A40B5D,D,
2000,2001,Male,blue,English,green,America,#A40B5D,Processing,
2000,2001,Company,#727171,English,green,America,#A40B5D,Visual Basic.Net,
2000,2001,Company,#727171,English,green,America,#A40B5D,RPG IV,
2000,2001,Company,#727171,Spanish,#DCDDDD,Argentina,#914B99,CDScript,
2000,2002,Company ,#727171,English,green,America,#A40B5D,Gosu,
2000,2002,Group,#727171,English,green,America,#A40B5D,Scratch,
2000,2003,Uni,#727171,Polish,#C7DE8C,Poland,#E1E553,Nemerle,
2000,2003,Male,blue,Russian,,Russia,#551F1C,Factor,
2000,2003,Male,blue,English,green,UK,#E8BE21,Scala,
2000,2003,Male,blue,Italian,#FFFFFF,Italy,#EF8564,Squirrel,
2000,2003,Male,blue,Portuguese,#44B8AF,Brazil,#612389,Boo,
2000,2004,Company,#727171,Dutch,#C9BC9C,Netherland,#823720,Alma-0,
2000,2004,Male,blue,English,green,America,#A40B5D,Groovy,
2000,2004,Male,blue,English,green,America,#A40B5D,Little b,
2000,2005,Male,blue,English,green,Austrlia,#331737,Fantom,
2000,2005,Male,blue,English,green,Austrlia,#331737,F#,
2000,2005,Male,blue,French,#2EA7E0,France,#ECAB43,Haxe,
2000,2005,Company,#727171,English,green,America,#A40B5D,Oxygene,
2000,2006,Male,blue,English,green,America,#A40B5D,Links,
2000,2006,Male,blue,English,green,America,#A40B5D,Cobra,
2000,2006,Company,#727171,English,green,America,#A40B5D,Windows PowerShell,
2000,2006,Company,#727171,French,#2EA7E0,France,#ECAB43,OptimJ,
2000,2006,Male,blue,English,green,America,#A40B5D,Fortress,
2000,2006,Company,#727171,English,green,America,#A40B5D,Vala,
2000,2007,Company,#727171,Swiss,#B5B5B6,Sweden,#B1911B,Agda,
2000,2007,Male,blue,English,green,America,#A40B5D,Clojure,
2000,2007,Male,blue,English,green,America,#A40B5D,LOLCODE,
2000,2007,Male,blue,Swiss,#B5B5B6,Sweden,#B1911B,Oberon-07,
2000,2007,Uni,#727171,English,green,America,#A40B5D,Swift,
2000,2008,Male,blue,German,#AEDBD4,Germany,yellow,Nim,
2000,2008,Male,blue,German,#AEDBD4,Germany,yellow,Pure,
2000,2009,Male,blue,English,green,America,#A40B5D,Chapel,
2000,2009,Company,#727171,English,green,America,#A40B5D,Go,
2000,2009,Male,blue,English,green,America,#A40B5D,CoffeeScript,
2000,2009,Male,blue,English,green,UK,#E8BE21,Idris,
2000,2009,Male,blue,English,green,New Zealand,#763E5A,Whiley,
2000,2009,Male,blue,English,green,America,#A40B5D,Dafny,
2010,2010,Male,blue,English,green,America,#A40B5D,Rust,
2010,2011,Male,blue,Spanish,#DCDDDD,Span,#FBEDE5,Ceylon,
2010,2011,Company,#727171,English,green,America,#A40B5D,Dart,
2010,2011,Company,#727171,Czech,#DAD384,Czech Republic,#E9971E,Kotlin,
2010,2011,Male,blue,French,#2EA7E0,France,#ECAB43,Red,
2010,2011,Male,blue,English,green,New Zealan,#763E5A,MonkeyX,
2010,2011,Company,#727171,French,#2EA7E0,France,#ECAB43,Opa,
2010,2012,Male,blue,Polish,#C7DE8C,Poland,#E1E553,Elixir,
